r,X_r,Conn_r,euler_rips_r
12.66,123.46825396825396,2,13819
12.73,123.65079365079364,2,13840
12.75,133.37301587301587,2,14994
12.78,135.0079365079365,2,15189
12.81,136.24603174603175,2,15337
12.82,136.38888888888889,2,15354
12.86,137.02380952380952,2,15428
12.91,138.1984126984127,2,15569
12.98,139.1984126984127,2,15688
12.99,140.02380952380952,2,15787
13.0,140.25396825396825,2,15815
13.01,140.83333333333334,2,15885
13.04,141.6031746031746,2,15977
13.09,142.05555555555554,2,16031
13.13,144.36507936507937,2,16307
13.16,144.53968253968253,2,16328
13.21,145.32539682539684,2,16422
13.29,146.20634920634922,2,16528
13.32,147.5079365079365,2,16684
13.35,147.70634920634922,2,16708
13.46,148.38888888888889,2,16790
13.47,156.79365079365078,2,17793
13.5,157.52380952380952,2,17881
13.51,158.43650793650792,2,17991
13.54,159.73015873015873,2,18145
13.59,160.92857142857142,2,18288
13.61,161.11904761904762,2,18310
13.65,161.34126984126985,2,18337
13.66,161.94444444444446,2,18408
13.73,164.53174603174602,2,18717
13.76,165.1031746031746,2,18786
13.8,165.56349206349208,2,18841
13.83,165.76190476190476,2,18865
13.87,167.3095238095238,2,19052
13.9,167.65079365079364,2,19093
13.91,169.64285714285714,2,19333
13.93,169.9126984126984,2,19363
13.95,171.18253968253967,2,19516
14.0,172.05555555555554,2,19621
14.01,172.61904761904762,2,19689
14.04,173.3968253968254,2,19782
14.09,174.73809523809524,2,19942
14.15,181.8015873015873,2,20787
14.16,183.29365079365078,2,20964
14.22,185.1031746031746,2,21180
14.23,185.65873015873015,2,21246
14.24,185.82539682539684,2,21266
14.31,186.53174603174602,2,21351
14.32,186.75396825396825,2,21378
14.33,187.9920634920635,2,21527
14.4,190.02380952380952,2,21772
14.44,191.0952380952381,2,21900
14.5,191.82539682539684,2,21987
14.51,192.03174603174602,2,22012
14.57,192.26984126984127,2,22041
14.58,202.17460317460316,2,23232
14.61,203.68253968253967,2,23413
14.71,203.94444444444446,2,23445
14.72,204.4047619047619,2,23500
14.78,206.65079365079364,2,23770
14.81,207.38888888888889,2,23858
14.85,207.8968253968254,2,23919
14.87,208.9047619047619,2,24040
14.92,209.88888888888889,2,24160
14.99,210.5952380952381,2,24245
15.0,216.34920634920636,2,24937
15.01,218.02380952380952,2,25139
15.04,218.73809523809524,2,25225
15.05,218.97619047619048,2,25254
15.08,220.56349206349208,2,25446
15.12,220.82539682539684,2,25477
15.14,221.42857142857142,2,25549
15.21,229.38888888888889,2,26505
15.24,231.14285714285714,2,26716
15.3,231.52380952380952,2,26762
15.31,231.79365079365078,2,26794
15.34,232.35714285714286,2,26862
15.41,234.74603174603175,2,27150
15.44,236.04761904761904,2,27308
15.45,237.5079365079365,2,27485
15.5,237.84126984126985,2,27525
15.51,238.1031746031746,2,27557
15.53,238.5,2,27605
15.56,239.88095238095238,2,27772
15.58,241.84920634920636,2,28010
15.63,242.36507936507937,2,28071
15.67,242.8015873015873,2,28123
15.7,243.34126984126985,2,28188
15.71,243.92857142857142,2,28259
15.82,253.81746031746033,2,29451
15.89,254.8095238095238,2,29571
15.9,255.5873015873016,2,29665
15.92,256.484126984127,2,29773
15.95,257.42857142857144,2,29888
15.96,258.73015873015873,2,30046
15.98,260.0952380952381,2,30212
16.0,260.55555555555554,2,30268
16.01,269.45238095238096,2,31344
16.04,271.42063492063494,2,31583
